wavelength,radiance
400.0,0.07646168031904636
405.0,0.07875743680231792
410.0,0.07710689497259127
415.0,0.08219691423878556
420.0,0.08495704699730351
425.0,0.08328947027007716
430.0,0.07742407430034566
435.0,0.0783679809749222
440.0,0.08600506205757963
445.0,0.08290281373985707
450.0,0.07868538540619703
455.0,0.08273794287217062
460.0,0.08348140080231005
465.0,0.08393385197618677
470.0,0.07935871054162208
475.0,0.07716328914457014
480.0,0.07880148844111462
485.0,0.08539383400961144
490.0,0.08151791427106071
495.0,0.07735419353011101
500.0,0.07644028196400017
505.0,0.08052655108577628
510.0,0.07867489001318959
515.0,0.07924669851380066
520.0,0.07728251224681525
525.0,0.0876686640307173
530.0,0.07949066746729029
535.0,0.07588797070788128
540.0,0.07907607982776113
545.0,0.08641944840514959
550.0,0.07969554707078708
555.0,0.0766014016746956
560.0,0.08209386246821745
565.0,0.08420935522524697
570.0,0.0812183112051139
575.0,0.0807880296102835
580.0,0.08235099842308859
585.0,0.09277791323305334
590.0,0.09009766948696822
595.0,0.1044713009274159
600.0,0.1244676316257189
605.0,0.16121399274598044
610.0,0.22403015161618411
615.0,0.33506422911319295
620.0,0.5077901721431191
625.0,0.7795050585567931
630.0,1.0
635.0,0.8024036999249228
640.0,0.37325520423992953
645.0,0.1907855784915531
650.0,0.12520505069774415
655.0,0.0949314371532221
660.0,0.08558910905157217
665.0,0.08423218429066347
670.0,0.07974665163976558
675.0,0.0792949902134973
680.0,0.08022939701564537
685.0,0.0770016359943152
690.0,0.07889393812493924
695.0,0.07911405991698768
700.0,0.07876213697753244
